entity	type	frequency
awake	PERSON	1
athanasius	PERSON	1
apostolic scripture	PERSON	1
anubis	GPE	1
anon	PERSON	1
angels	ORG	1
angel of	LOC	1
alypius a catechumen	ORG	1
alas	ORG	1
aeneas	PERSON	1
adeodatus	ORG	1
