adjective	frequency
tambour-	1
tallest	1
sword-	1
swifter	1
surf-	1
superior	1
sundry	1
striking	1
stricken	1
stretched	1
strained	1
stoutest	1
stout-	1
store-	1
steady	1
stated	1
starry	1
stark	1
star-	1
stained	1
stable	1
squeaky	1
squat	1
square	1
squalid	1
spotted	1
spoked	1
spit-	1
spiral	1
sovereign	1
sons-	1
sombre	1
solitary	1
sole	1
sodden	1
snow-	1
smithy	1
smartest	1
smart	1
slowest	1
sloth	1
skull-	1
sixth	1
sister-	1
singular	1
singlehanded	1
sinful	1
simple	1
silvery	1
sidonian	1
side	1
shouldered	1
shorter	1
shod	1
ship-	1
shifty	1
she-	1
sharpest	1
sharper	1
sharpened	1
shameful	1
shadiest	1
set	1
servant	1
serrated	1
separate	1
self-	1
seasoned	1
scurvy	1
scorn	1
sceptred	1
scarred	1
scant	1
scandalous	1
scamander	1
satisfactory	1
sardinian	1
sandy	1
safest	1
sadder	1
sacked	1
roof-	1
rock-	1
ripe	1
ridiculous	1
ridest	1
rid	1
richly-	1
restive	1
resplendent	1
religious	1
reft	1
reckless	1
ravenous	1
ranged	1
ragged	1
puny	1
proserpine	1
propitious	1
pronous	1
profound	1
proficient	1
princely	1
precise	1
positive	1
poppy-	1
poppy	1
poorest	1
poorer	1
polite	1
pine	1
pestilent	1
persuasive	1
persistent	1
perilous	1
perched	1
pell-	1
pelasgian	1
peirous	1
peerless	1
peaceful	1
passionate	1
particular	1
paphlagonian	1
oxhide	1
overwhelmed	1
overweening	1
overjoyed	1
overarching	1
over-	1
outward	1
outvie	1
outrageous	1
outraged	1
out	1
opposed	1
one-	1
olive-	1
olenian	1
oechalian	1
oath-	1
oaken	1
nurse	1
numerous	1
numberless	1
notorious	1
noisome	1
ninth	1
nimblest	1
never-	1
nether	1
nervous	1
needy	1
necked	1
necessary	1
neat	1
naught	1
natured	1
mysterious	1
mutual	1
mouthed	1
mountain-	1
mouldy	1
moody	1
modest	1
moderate	1
mistaken	1
miraculous	1
miller-	1
mien	1
menial	1
melting-	1
meanest	1
matrimonial	1
marshy	1
married	1
marked	1
manifold	1
manifest	1
maned	1
man-	1
malean	1
lucky	1
lowermost	1
love-	1
lost	1
lookout	1
lone	1
liquid	1
limping	1
limpid	1
limp	1
lighted	1
legged	1
left-	1
lean	1
leaderless	1
laughter-	1
latest	1
known	1
kindly-	1
key	1
keener	1
jury-	1
joyous	1
joyful	1
jointed	1
irritable	1
irrepressible	1
iphinous	1
intelligent	1
insignificant	1
innocent	1
inland	1
inhuman	1
inglorious	1
ingenious	1
inextinguishable	1
inexorable	1
ineffable	1
indisputable	1
indifferent	1
independent	1
incorrigible	1
incarnate	1
impudent	1
importunate	1
impetuous	1
illustrious	1
ignoble	1
iasian	1
hurrying	1
hurry-	1
huntress	1
hotch-	1
horrible	1
honeyed	1
hiss	1
himself	1
higher	1
hiding-	1
hereditary	1
helpless	1
helmed	1
heinous	1
heedlessness	1
heaven-	1
headstrong	1
headless	1
hazardous	1
hasty	1
harsh	1
happier	1
hapless	1
hanged	1
handy	1
half-	1
hale	1
gruesome	1
groanful	1
grimly	1
grey-	1
greedy	1
gravest	1
gore-	1
golden-	1
glut	1
gloomy	1
gleaming	1
givest	1
gentle	1
furnished	1
funny	1
funeral	1
fullest	1
fuller-	1
frugal	1
frosty	1
fro	1
frightful	1
frequent	1
freemen	1
fourfold	1
four-	1
fortune-	1
fortunate	1
forgetful	1
foresworn	1
fore-	1
fold	1
foiled	1
foggy	1
fluent	1
flowery	1
fleeter	1
flattering	1
flat	1
fittest	1
fishy	1
fire-	1
fine-	1
fig-	1
fifty-	1
fickle	1
fetching	1
ferret-	1
ferret	1
fellow	1
favoured	1
fatuous	1
fattened	1
father-	1
fascinating	1
familiar	1
fain	1
exultant	1
extra	1
expert	1
exhausted	1
ever-	1
even	1
eueneus	1
enraged	1
endless	1
elysian	1
elsewhither	1
eighteenth	1
echinean	1
easy-	1
earlier	1
dwellest	1
dusky	1
dryas	1
drunken	1
downward	1
doubling-	1
doomed	1
diverse	1
disturbed	1
distressing	1
distinguished	1
disrespectful	1
disreputable	1
disquieted	1
disloyal	1
disgusted	1
disguised	1
discreet	1
discreditable	1
discomfited	1
disc-	1
disastrous	1
dim	1
destructive	1
despiteful	1
desperate	1
dejected	1
deficient	1
defenceless	1
deepest	1
deeper	1
deceitful	1
death-	1
deafening	1
dazzling	1
day	1
dark-	1
dare	1
damp	1
cyprian	1
cypress-	1
customary	1
crouched	1
cross	1
crimson	1
crazed	1
craftiest	1
coward	1
cow	1
covetous	1
courteous	1
courageous	1
counselled	1
cooked	1
conversant	1
contrive	1
continuous	1
content	1
confused	1
concerned	1
conceivable	1
concealment	1
compact	1
commander	1
comeliest	1
colder	1
coherent	1
coarse	1
clung	1
clouded	1
clasped	1
clan-	1
civil	1
ciconian	1
chosen	1
chopped	1
choicest	1
childish	1
cheeping	1
cheaper	1
charred	1
charmed	1
chaff-	1
cephisian	1
celebrated	1
cedar-	1
cavern	1
capable	1
calydnian	1
calmer	1
but	1
burnt-	1
burnished	1
brute	1
brother-	1
brooch	1
broader	1
broad-	1
brightest	1
brighter	1
bridal	1
breezy	1
boyish	1
bow-	1
boundless	1
bootless	1
boldest	1
boebean	1
bluster	1
blithe	1
blest	1
blessed	1
bitterest	1
biggest	1
beggarly	1
beforehand	1
befitting	1
bedrabbled	1
beauteous	1
beaked	1
beacon-	1
bath-	1
barbed	1
barbarous	1
balanced	1
awhile	1
awed	1
aware	1
autonous	1
august	1
aught	1
attendant	1
atonement	1
athenian	1
aslant	1
ash-	1
artful	1
aright	1
archer-	1
apt	1
appalling	1
anew	1
ancestral	1
altar	1
almighty	1
alight	1
agreeable	1
aglow	1
age-	1
affrighted	1
afflicted	1
affected	1
aetolian	1
aeolus	1
adrift	1
additional	1
accursed	1
absurd	1
ablaze	1
