bigram	frequency
agamemnon heading	2
took lesbos	2
shouted aloud	2
battle will	2
fair skin	2
upper part	2
better even	2
twisted ox	2
means whereby	2
looked straight	2
disposed person	2
strong gates	2
principal men	2
either trojans	2
enemies make	2
make offering	2
goddess though	2
mother dione	2
taken aim	2
may want	2
argives saying	2
menelaus immediately	2
medon said	2
hides thick	2
achilles killed	2
looked along	2
men stay	2
consuming fire	2
need shrewd	2
heaven vouchsafe	2
broken hearted	2
excellent disposition	2
honesty addressed	2
will utterly	2
horses towards	2
terrible fate	2
hands till	2
present mind	2
go first	2
fire flashing	2
nestor rose	2
hector also	2
idomeneus said	2
comrades round	2
might tell	2
say something	2
achaeans suffered	2
ever afterwards	2
cunning ulysses	2
found hector	2
one might	2
yet reached	2
come begging	2
travelled far	2
rose heavenwards	2
facing ulysses	2
hill callicolone	2
equal honour	2
like wolves	2
like sunlight	2
smoke rising	2
juno saw	2
another may	2
two sheep	2
good looks	2
anything like	2
will arm	2
hector left	2
fierce achaeans	2
death took	2
crew brought	2
keep house	2
narrow entrance	2
heart beat	2
clean clothes	2
end went	2
go begging	2
raged round	2
pleased heaven	2
words pleased	2
dare break	2
often told	2
go ingloriously	2
trojans single	2
armour gleam	2
wooden horse	2
still much	2
young olive	2
man take	2
good truth	2
never will	2
quite truly	2
done great	2
brave wife	2
great sword	2
whole town	2
drink wine	2
keep silence	2
shed sleep	2
kill every	2
seven excellent	2
yet gave	2
shall bid	2
better saying	2
achilles told	2
must needs	2
growing island	2
morning let	2
side took	2
dowered wife	2
might wash	2
ulysses looked	2
heaven vouchsafed	2
brilliant pendants	2
will bear	2
hard work	2
dear phoebus	2
grow thick	2
two tumblers	2
apollo obeyed	2
sea told	2
goodly offerings	2
however great	2
whose hands	2
bad plight	2
also left	2
fair hecamede	2
impregnable bulwark	2
lying low	2
uprose king	2
tambour frame	2
tilled fields	2
never gone	2
presently ulysses	2
achilles brought	2
born young	2
taphian pirates	2
close fighting	2
huge orion	2
days seven	2
roared applause	2
bore patroclus	2
suitors dine	2
father used	2
lies low	2
rulest tenedos	2
people heard	2
ulysses set	2
mother heard	2
three daughters	2
person among	2
jove urged	2
hector held	2
another sign	2
rushed forward	2
mules drew	2
happy son	2
sufficient dinner	2
spring water	2
euryclea heard	2
lie apart	2
clad slopes	2
son apollo	2
two made	2
blue waves	2
many victims	2
shun dishonour	2
fall now	2
now retreat	2
thousand men	2
now bidding	2
golden armour	2
will still	2
shoulder without	2
besought achilles	2
also make	2
horses bore	2
usual way	2
returned home	2
full pursuit	2
sad news	2
better presence	2
will prove	2
looking fearfully	2
whereon achilles	2
forced labour	2
except alcinous	2
take counsel	2
leave many	2
like fire	2
reached pherae	2
now ask	2
two horses	2
king said	2
famous archer	2
dense cloud	2
killed us	2
made us	2
mere child	2
may reach	2
single man	2
comfort within	2
one approved	2
clear sky	2
priam son	2
forest fire	2
ever present	2
olympus reeled	2
however brave	2
thundering husband	2
twelve jars	2
well gainsaid	2
sail bellied	2
meet death	2
divine voice	2
rang loudly	2
never cease	2
us stand	2
men smiled	2
said achilles	2
heavenly threshold	2
mare aethe	2
high aloft	2
voice saying	2
busy cutting	2
mountain neritum	2
famed ulysses	2
achilles now	2
child will	2
bravest warriors	2
made light	2
horse pedasus	2
feast among	2
pure gold	2
achilles glared	2
bring forth	2
infused fresh	2
us sail	2
drink till	2
clean water	2
terrible charybdis	2
turns round	2
back rejoicing	2
twelve brave	2
done washing	2
respectable woman	2
ambrosial locks	2
will satisfy	2
share like	2
greatly better	2
sat still	2
lovely thetis	2
much pleased	2
carried us	2
going upstairs	2
like hyacinth	2
twin sons	2
never reach	2
twisted thongs	2
helmets touched	2
words set	2
gold whip	2
fooled us	2
heaven sends	2
ulysses caught	2
give every	2
helmet fell	2
spoke hector	2
stooped forward	2
hard thing	2
purple mantle	2
fleet mars	2
noble agenor	2
live long	2
part us	2
well dressed	2
armour still	2
leathern bags	2
burnt offerings	2
father means	2
respect due	2
talking among	2
heaven put	2
say point	2
men begged	2
plying lustily	2
peleus must	2
old sicel	2
unhappy son	2
beat one	2
venus took	2
trojans held	2
wall away	2
dear wife	2
now reached	2
may choose	2
swear falsely	2
looking everywhere	2
swept away	2
plain like	2
tenth year	2
wide jaws	2
dense body	2
schedius son	2
first go	2
achaeans took	2
golden vase	2
help either	2
high house	2
weeping away	2
savage wild	2
now falling	2
lying near	2
great one	2
blue waters	2
clear spring	2
withstand us	2
staid steadily	2
shall reckon	2
speed round	2
soul went	2
wounded either	2
give light	2
shall eat	2
years without	2
bloody weal	2
live well	2
fills men	2
great peril	2
bring one	2
achilles caught	2
draw nigh	2
fight like	2
towards erebus	2
excellent servant	2
hero echeneus	2
skilful archer	2
battle clad	2
firm hold	2
wife went	2
hearts beat	2
son mercury	2
vision said	2
achilles came	2
two famous	2
pandarus son	2
ajax saw	2
began praying	2
people outside	2
