bigram	frequency
young one	4
safe home	4
groaned aloud	4
topmost crests	4
also give	4
far country	4
must now	4
yet saw	4
take nothing	4
wicked wife	4
men stood	4
achaeans came	4
trusty comrade	4
cry aloud	4
achilles took	4
might drink	4
quite close	4
twelve ships	4
seeing jove	4
flew open	4
covered cloister	4
might return	4
forthwith uprose	4
will happen	4
spoke saying	4
dear sir	4
also put	4
take offence	4
valiant warrior	4
mighty warrior	4
will hurl	4
stand forward	4
saw ulysses	4
will neither	4
gleaming helmet	4
made trial	4
darkness veiled	4
son orestes	4
find one	4
jagged stone	4
came round	4
minerva sent	4
let another	4
others go	4
pure silver	4
good stout	4
men fighting	4
inner room	4
men will	4
man though	4
property without	4
men call	4
lycians saying	4
raw meat	4
now bid	4
women joined	4
behind us	4
dead man	4
must see	4
much wealth	4
alone left	4
whole plain	4
will accept	4
will listen	4
ten thousand	4
took away	4
blessed boon	4
jove heard	4
man go	4
mighty stream	4
end wall	4
knows neither	4
sprang forth	4
father ulysses	4
sorrowing bitterly	4
visit us	4
three hundred	4
may never	4
will kill	4
breathing time	4
people among	4
may yet	4
olive oil	4
sent two	4
put away	4
bring death	4
comes home	4
fleet achilles	4
take part	4
morning rosy	4
just like	4
ulysses left	4
alexandrus husband	4
still keeping	4
nothing like	4
hear anything	4
go round	4
neighbour saying	4
neptune heard	4
people together	4
never grow	4
make straight	4
needs must	4
quite easily	4
took telemachus	4
decorated seat	4
give satisfaction	4
whole twelve	4
way till	4
disposed towards	4
drink offering	4
fresh strength	4
achilles saw	4
ask questions	4
yet came	4
trojans may	4
alcinous said	4
pelian ash	4
brought hither	4
penelope answered	4
sacrifice twelve	4
will look	4
great web	4
already eager	4
shall stay	4
will let	4
come close	4
running away	4
made ulysses	4
girl briseis	4
great stone	4
husband till	4
spear stuck	4
diomed answered	4
good heavens	4
gods know	4
noble birth	4
night long	4
imposing presence	4
men servants	4
old merman	4
without saying	4
press forward	4
seat inlaid	4
never let	4
great sorrow	4
now save	4
come within	4
whole country	4
high oak	4
us draw	4
may give	4
infinite trouble	4
jove may	4
growing old	4
keen eyes	4
stood round	4
much troubled	4
god must	4
now came	4
horses round	4
old nestor	4
fought desperately	4
bed time	4
firstling lambs	4
fertile land	4
heart beats	4
fair flesh	4
grown old	4
like two	4
river selleis	4
mountain top	4
footstool also	4
whose son	4
furiously angry	4
whole truth	4
mixed wine	4
blind look	4
may reasonably	4
making moan	4
mighty hercules	4
sea side	4
fierce mars	4
dare face	4
take back	4
good clothes	4
rushed towards	4
tenth night	4
come outside	4
said penelope	4
long spear	4
may offer	4
lying dead	4
become meat	4
will therefore	4
eyes behold	4
say whether	4
ulysses rose	4
offered many	4
may find	4
put together	4
put forth	4
glittering golden	4
much gold	4
trojan chieftains	4
soaring eagle	4
sweet wine	4
cunning vulcan	4
great wall	4
shall fight	4
lay hold	4
will win	4
furthermore let	4
will honour	4
weary sea	4
begin fighting	4
ulysses ever	4
six days	4
comely head	4
noble sons	4
amongst us	4
ox hide	4
will grant	4
tell achilles	4
whose sake	4
man whose	4
divided counsels	4
two sides	4
thick darkness	4
brawny hand	4
shall leave	4
foremost fighters	4
enough already	4
bear away	4
one thing	4
name will	4
stood upright	4
dead bodies	4
got ready	4
lame god	4
fair city	4
brought back	4
poured wine	4
one whose	4
women servants	4
two talents	4
take thought	4
sent us	4
quite young	4
us put	4
sit still	4
thrinacian island	4
fear fell	4
poor unhappy	4
neither side	4
sails aloft	4
taking aim	4
shed tears	4
travelled much	4
shall get	4
much fear	4
came inside	4
year round	4
golden throne	4
echoing gatehouse	4
telemachus spoke	4
two lions	4
minerva bethought	4
achilles said	4
killing one	4
noble father	4
swerved aside	4
without hitting	4
one may	4
face upwards	4
whole night	4
ulysses began	4
ulysses leading	4
get dinner	4
arms towards	4
took heart	4
minds whether	4
will protect	4
agamemnon struck	4
whole house	4
left hand	4
darling son	4
kept pouring	4
pale fear	4
might take	4
stone floor	4
towards heaven	4
danaan warriors	4
will leave	4
ill deeds	4
also made	3
topmost ridges	3
whole story	3
alone among	3
rose also	3
look taller	3
yet got	3
better let	3
smaller pieces	3
ever getting	3
may send	3
us shall	3
get killed	3
make one	3
single handed	3
let achilles	3
brave squire	3
whereon telemachus	3
eumaeus went	3
woman eurynome	3
gave victory	3
great multitudes	3
nine men	3
domed room	3
without delay	3
done supper	3
best young	3
long years	3
one whit	3
takes thought	3
last come	3
keep watch	3
looked round	3
meantime ulysses	3
gleaming shield	3
half way	3
apollo made	3
turning round	3
hector made	3
things will	3
now let	3
fell sprawling	3
strong ilius	3
morning comes	3
barren heifer	3
sorry wedding	3
achilles slay	3
still morning	3
stand upright	3
father will	3
must leave	3
may win	3
fight raged	3
fell face	3
clean cloak	3
turn round	3
gleamed like	3
grasped two	3
now driven	3
well wrought	3
call ajax	3
flew away	3
will drive	3
golden cup	3
theoclymenus said	3
two days	3
win still	3
got within	3
gone home	3
goddess went	3
fighting round	3
windy ilius	3
red rugs	3
good quality	3
young friend	3
tore away	3
might stay	3
offered prizes	3
third day	3
turn pale	3
ever seen	3
homeward journey	3
king vulcan	3
great tambour	3
hand till	3
another twelve	3
great reward	3
painful art	3
broad waters	3
deep water	3
jove gives	3
never heard	3
much else	3
home quickly	3
consummate skill	3
eyes away	3
bring us	3
good friends	3
sturdy thigh	3
fair body	3
gathered thereon	3
long shall	3
exchange presents	3
many sheep	3
handsomest man	3
unhappy man	3
eyes towards	3
helen went	3
shall lie	3
may think	3
came home	3
drove straight	3
mighty bow	3
neither man	3
mighty shield	3
short work	3
quite different	3
telemachus took	3
high throne	3
began talking	3
till heaven	3
among mortal	3
go along	3
shall turn	3
set foot	3
anything else	3
will eat	3
stern fate	3
spear passed	3
also rose	3
twentieth year	3
give glory	3
shield stayed	3
knight phoenix	3
drink whenever	3
day ulysses	3
came pouring	3
mixing wine	3
came thirty	3
us obey	3
hold back	3
going home	3
must find	3
wild goats	3
diomed killed	3
olive wood	3
hector will	3
long delayed	3
greatly grieved	3
hard matter	3
many people	3
man went	3
quick passage	3
two wild	3
beautiful eyes	3
bad thing	3
shall live	3
well away	3
sweat rained	3
open space	3
fight anew	3
lay aside	3
now close	3
make war	3
dark beneath	3
sacked lyrnessus	3
speed towards	3
telamon answered	3
get near	3
vouchsafe victory	3
doubt whether	3
polydamas son	3
sheer folly	3
ever will	3
foremost men	3
marriage gifts	3
sicel woman	3
man living	3
two lambs	3
aeneas answered	3
hector took	3
will pursue	3
see whither	3
great river	3
furious passion	3
may fear	3
without either	3
cruel jove	3
diomed made	3
lion springs	3
ulysses gave	3
dark sea	3
exceedingly angry	3
help ulysses	3
goat skin	3
send us	3
kill hector	3
took great	3
ulysses slept	3
cunning goddess	3
dogs went	3
trojans advanced	3
will ulysses	3
golden sceptre	3
suitors bit	3
distant land	3
horses will	3
arrow pierced	3
excellent dinner	3
fine needlework	3
heaven help	3
ulysses killed	3
night will	3
stock still	3
help us	3
warm bath	3
heaven forbid	3
never seen	3
one turn	3
jove counselled	3
good cloak	3
us also	3
terrible spear	3
great son	3
also brought	3
fight even	3
take away	3
keeping helen	3
will shortly	3
two came	3
corn lands	3
fourth year	3
home without	3
day waxed	3
fell dead	3
us two	3
golden urn	3
country round	3
telemachus will	3
fight valiant	3
strong man	3
juno said	3
fierce fight	3
battle rose	3
head fell	3
minerva endowed	3
morning meal	3
take food	3
brave soldier	3
immortal jove	3
great triumph	3
comes crashing	3
us rather	3
godlike hero	3
juno stayed	3
spear sped	3
may well	3
many ships	3
even better	3
good woman	3
said jove	3
rich land	3
tomorrow morning	3
holding aloof	3
us think	3
looking round	3
found ulysses	3
every good	3
chief ruler	3
saturn made	3
fleet ajax	3
win glory	3
