unigram	frequency
wish	47
door	47
trying	46
broke	46
anything	46
prize	46
clothes	46
meet	46
pieces	46
able	46
forthwith	46
crew	46
iron	46
wives	45
built	45
ran	45
clean	45
charge	45
venus	45
offerings	45
ere	45
aegis	45
prayer	45
twenty	45
carry	45
princes	45
achaean	45
flung	44
arrows	44
hair	44
sight	44
fate	44
circe	44
attack	44
beneath	44
years	44
since	44
wept	43
fat	43
goats	43
gifts	43
supper	43
passed	43
panic	43
run	43
table	42
trench	42
aloud	42
store	42
cruel	42
places	42
parents	42
steeds	42
truth	42
chief	42
running	42
year	41
lies	41
wood	41
low	41
myrmidons	41
offering	41
stream	41
bitterly	41
winds	41
talking	41
terrible	41
cloister	41
due	41
mischief	40
wash	40
cover	40
iris	40
cunning	40
spring	40
wait	40
washed	40
minded	40
dare	40
love	40
beyond	40
vain	40
white	40
heavily	40
rather	40
answer	39
ten	39
rage	39
stronger	39
rock	39
phoebus	39
spite	38
ransom	38
daughters	38
alas	38
walls	38
offer	38
standing	38
sped	38
council	38
throughout	38
lived	38
lovely	38
main	38
pity	38
courage	38
thigh	37
doors	37
arm	37
seats	37
oceanus	37
teucer	37
spoken	37
learn	37
queen	37
sweet	37
girl	37
age	37
furious	37
story	37
rang	37
black	37
marry	37
skin	37
hardly	37
tree	37
leaving	37
lifted	37
four	37
throw	36
outer	36
blessed	36
need	36
captain	36
string	36
sound	36
race	36
aimed	36
eating	36
reins	36
voyage	36
lycians	36
hearts	36
met	36
boar	36
shields	36
handed	36
flight	36
driving	35
flesh	35
pigs	35
huge	35
meal	35
hereafter	35
whereas	35
broad	35
mules	35
aim	35
calypso	35
dwell	35
next	35
guest	34
suffered	34
alike	34
saved	34
lives	34
breast	34
orders	34
become	34
poured	34
manner	34
pain	34
furiously	34
wealth	34
protect	34
mean	33
wanted	33
heavy	33
mankind	33
oath	33
mixing	33
euryclea	33
menoetius	33
wicked	33
nurse	33
gleaming	33
sacked	32
ox	32
thrice	32
fetch	32
blow	32
sorry	32
mountains	32
waiting	32
closed	32
half	32
mouth	32
knight	32
oxen	32
yoke	32
polydamas	32
perish	32
slew	32
deemed	32
borne	32
ajaxes	32
fiercely	32
hounds	31
worse	31
peer	31
property	31
beautiful	31
holding	31
makes	31
hung	31
cities	31
allies	31
case	31
praying	31
forest	31
bravest	31
bringing	31
harm	31
news	30
number	30
less	30
forget	30
respect	30
soul	30
fled	30
warriors	30
proud	30
fill	30
air	30
shed	30
third	30
diana	30
brothers	30
triumph	30
knows	30
past	30
smote	30
beauty	30
heads	30
means	30
times	30
feast	30
thrown	30
piece	29
person	29
spread	29
perished	29
appeared	29
wise	29
groaning	29
bowl	29
wide	29
burning	29
fresh	29
wrought	29
barley	29
toil	29
eurymachus	29
safely	29
share	29
squire	29
married	29
rocks	29
asked	29
converse	29
bodies	29
defend	29
free	29
loved	29
swear	29
armed	29
neleus	29
greatly	28
pay	28
hurled	28
seven	28
combat	28
sleeping	28
clear	28
sack	28
haste	28
crowd	28
clouds	28
crying	28
quarrel	28
keeping	28
amid	28
lot	28
vouchsafe	28
waggon	28
belly	28
placed	28
revenge	28
tore	28
estate	27
shame	27
limbs	27
firm	27
shepherd	27
often	27
grey	27
fifty	27
aside	27
goes	27
doom	27
tramp	27
mast	27
clad	27
died	27
easily	27
speaking	27
heed	27
sailed	27
flocks	27
valour	27
broken	27
mine	27
quick	27
follow	27
ghosts	26
presence	26
turning	26
rosy	26
pair	26
win	26
wrong	26
form	26
message	26
foe	26
welcome	26
aegisthus	26
warrior	26
bard	26
stones	26
heifer	26
sake	26
order	26
fingered	26
west	25
visit	25
leaves	25
eager	25
bird	25
chieftains	25
trees	25
pleased	25
post	25
happened	25
sad	25
whip	25
thinking	25
question	25
remember	25
six	25
sign	25
pierced	25
threshold	25
double	25
reason	25
ear	25
deiphobus	25
slay	25
seems	24
safe	24
certain	24
gather	24
hercules	24
eye	24
truly	24
corn	24
lashed	24
sing	24
goddesses	24
midst	24
embrace	24
lead	24
around	24
ghost	24
antenor	24
dismay	24
fail	24
honoured	24
understanding	24
hundred	24
stripped	24
guard	24
chase	24
suffer	24
avenge	24
second	24
space	24
murderous	23
harbour	23
glaucus	23
use	23
vouchsafed	23
melanthius	23
ears	23
loss	23
wave	23
dream	23
singing	23
mixed	23
returned	23
tried	23
pisistratus	23
thither	23
cease	23
fool	23
beginning	23
press	23
seized	23
breath	23
became	23
lyre	23
sails	23
guests	23
escort	23
spirit	23
youth	23
remain	23
slept	23
bidding	23
gladly	23
begin	23
likeness	23
treasure	23
captains	23
law	23
received	23
cross	23
unhappy	23
ones	23
folly	23
strip	23
xanthus	23
dread	23
line	23
join	22
aloof	22
automedon	22
deal	22
consider	22
tongue	22
lightning	22
flames	22
prizes	22
setting	22
counsels	22
takes	22
pyre	22
speech	22
roused	22
grow	22
desire	22
company	22
whatever	22
sorrows	22
rout	22
mortals	22
funeral	22
ways	22
oak	22
self	22
oil	22
grew	22
prowess	22
raft	22
minds	22
hour	22
divided	22
pass	22
pallas	22
purpose	22
hosts	22
uproar	22
bosom	21
mad	21
vultures	21
raise	21
thunder	21
sceptre	21
mentor	21
sweat	21
grasped	21
opened	21
rushed	21
lycaon	21
savage	21
understand	21
missed	21
storm	21
greater	21
unless	21
red	21
promise	21
rain	21
short	21
lose	21
labour	21
hecatombs	21
judgement	21
cast	21
public	21
charioteer	21
seated	21
dwelt	21
eagle	21
apart	21
daring	21
moved	21
really	21
chiefs	21
birds	21
aeacus	21
busy	21
seem	21
oileus	21
family	21
please	21
cloisters	21
distress	21
lambs	21
paris	21
driver	20
burned	20
eaten	20
comely	20
pressed	20
food	20
rebuked	20
lands	20
darted	20
tale	20
showed	20
banks	20
glorious	20
joined	20
meats	20
enemy	20
keen	20
headlong	20
ruin	20
strangers	20
solemn	20
cuirass	20
famous	20
heavens	20
promised	20
mark	20
says	20
bone	20
spoils	20
tear	20
stern	20
disposed	20
car	20
marriage	20
lycia	20
absence	20
dragging	20
besought	20
youths	20
drawn	20
warm	20
endowed	19
stretched	19
likely	19
gives	19
monster	19
utterly	19
forced	19
staff	19
drawing	19
councillors	19
earthquake	19
banquet	19
yield	19
messenger	19
blame	19
pride	19
fond	19
dropped	19
anointed	19
deed	19
grieve	19
frightened	19
beach	19
regards	19
maid	19
questions	19
soldiers	19
topmost	19
length	19
drunk	19
axes	19
choose	19
couch	19
skilled	19
hurt	19
robbed	19
daybreak	19
vessel	19
nymphs	19
served	19
small	19
luck	19
watch	19
temple	19
eurypylus	19
feared	19
prove	19
suffering	19
coward	19
favour	19
idaeus	18
tower	18
leader	18
trial	18
mt	18
olive	18
smoke	18
cloaks	18
floor	18
linen	18
cups	18
common	18
bull	18
inner	18
accept	18
bath	18
kings	18
exclaimed	18
creature	18
raiment	18
suppose	18
archer	18
deeds	18
springs	18
marvelled	18
power	18
check	18
younger	18
pleasure	18
wear	18
upper	18
smiled	18
abundance	18
grown	18
woe	18
paid	18
flock	18
older	18
quarter	18
mares	18
beaten	18
camp	18
redoubtable	18
sandals	18
oars	18
fed	18
phthia	18
ate	18
urge	18
asius	18
five	18
corpses	18
crest	18
escaped	18
addressed	18
insolence	18
finest	18
treated	18
lacedaemon	17
onward	17
dying	17
beheld	17
thence	17
shout	17
richly	17
paying	17
service	17
laughed	17
upstairs	17
furthermore	17
song	17
fourth	17
spits	17
satisfied	17
sees	17
foes	17
dismayed	17
strike	17
cold	17
kinds	17
rate	17
rank	17
jaws	17
worn	17
wing	17
hate	17
grieving	17
shook	17
begging	17
darts	17
persuade	17
fray	17
hidden	17
failed	17
felt	17
joy	17
prayers	17
mistress	17
girdle	17
cyclops	17
thebes	17
comfort	17
utmost	17
road	17
overcome	17
barrow	17
gerene	17
sides	17
vaunted	17
sire	17
pointed	16
journey	16
hurried	16
defence	16
thrust	16
foreign	16
chosen	16
heralds	16
medon	16
herd	16
believe	16
holy	16
account	16
shirts	16
deadly	16
weep	16
growing	16
robe	16
hospitality	16
mount	16
demodocus	16
trust	16
legs	16
spare	16
followers	16
morrow	16
asleep	16
autolycus	16
rising	16
rags	16
suppliant	16
everywhere	16
crete	16
named	16
madam	16
purple	16
stuck	16
scylla	16
waited	16
guardian	16
dry	16
pursuit	16
gate	16
behold	16
shod	16
hecatomb	16
seas	16
teiresias	16
move	16
urged	16
array	16
danger	16
command	16
treat	16
seemed	16
north	16
guide	16
calling	16
tripod	16
stricken	16
famed	16
shoot	16
yoked	16
spoil	16
belt	16
afterwards	16
cauldron	16
confusion	16
abode	16
kissed	16
soft	16
shouting	16
false	16
stockman	16
fit	16
feed	16
weight	15
weary	15
wrapped	15
sharp	15
wanting	15
whenever	15
fertile	15
wounds	15
dearest	15
obeyed	15
soldier	15
feasting	15
leading	15
sheer	15
refuse	15
mourned	15
goodwill	15
finished	15
tenth	15
south	15
machaon	15
shot	15
putting	15
burn	15
veil	15
sky	15
silence	15
later	15
altar	15
leaning	15
meant	15
birth	15
havoc	15
except	15
across	15
mounted	15
roof	15
quickly	15
rites	15
shelter	15
picked	15
entered	15
equal	15
feeding	15
leto	15
commanded	15
sends	15
agenor	15
slayer	15
gain	15
hid	15
wedding	15
lineage	15
skill	15
band	15
dardanus	15
hearted	15
descendant	15
fain	15
wretch	15
shown	15
helping	15
bent	15
nay	15
posts	15
tired	15
teeth	15
lift	15
cows	15
mercy	15
awful	15
bowls	15
lions	15
epeans	15
goat	15
thoas	15
wherever	15
cause	15
keeps	14
bold	14
plenty	14
pierce	14
dressed	14
doubt	14
miss	14
dulichium	14
particularly	14
aloft	14
distance	14
won	14
bury	14
doomed	14
destroy	14
immediately	14
panthous	14
working	14
girded	14
prepare	14
remained	14
irus	14
obey	14
ends	14
philoetius	14
loudly	14
carrying	14
flowing	14
loose	14
priest	14
flame	14
phoenix	14
displeased	14
swiftly	14
early	14
horsemen	14
devour	14
milk	14
watches	14
yard	14
asking	14
wooded	14
weapons	14
rim	14
mourn	14
bellerophon	14
dance	14
sorely	14
ram	14
vanquished	14
known	14
happen	14
miserable	14
lemnos	14
arts	14
cheering	14
snow	14
mere	14
lit	14
strode	14
rattling	14
nausicaa	14
hardship	14
reasonable	14
turns	14
wet	14
falling	14
scamander	14
anchises	14
directions	14
lament	14
support	14
new	14
onset	14
several	14
rise	14
danaan	14
livelong	14
champion	14
throwing	14
chose	14
noise	14
herds	14
prevent	14
rule	13
lips	13
fitted	13
meeting	13
drinking	13
cyclopes	13
streams	13
contest	13
dense	13
narrow	13
instead	13
sailors	13
cheered	13
attend	13
arete	13
palace	13
slumber	13
briseis	13
bitter	13
swore	13
happy	13
quit	13
wooing	13
quiver	13
helmets	13
rue	13
sthenelus	13
wolves	13
bane	13
companies	13
fountain	13
beggar	13
prophet	13
raged	13
letting	13
numbers	13
washing	13
midway	13
argus	13
hound	13
witness	13
worked	13
money	13
bred	13
mist	13
cebriones	13
displeasure	13
ring	13
raging	13
human	13
stop	13
looks	13
business	13
beautifully	13
settle	13
vaunt	13
loosed	13
ashamed	13
feasted	13
tall	13
ambrosia	13
rouse	13
ruler	13
dearly	13
ease	13
blows	13
wore	13
hut	13
expect	13
proserpine	13
summits	13
mantle	13
forgotten	13
flies	13
loth	13
mid	13
stature	13
speared	13
distant	13
cheeks	13
orestes	13
fame	13
eurylochus	13
omen	13
companions	13
cries	13
argive	12
laomedon	12
stands	12
carefully	12
cretans	12
theoclymenus	12
gale	12
weapon	12
throat	12
gleam	12
sin	12
finding	12
fishes	12
sooner	12
changed	12
moon	12
station	12
dardanians	12
salt	12
chased	12
sometimes	12
breastplate	12
dared	12
islands	12
whence	12
shepherds	12
dolius	12
battlements	12
rained	12
beseech	12
benches	12
blade	12
pale	12
loom	12
waste	12
mainland	12
fixed	12
continually	12
breaking	12
plot	12
stained	12
bind	12
sense	12
compassion	12
insolent	12
inasmuch	12
bids	12
eurynome	12
fling	12
covenant	12
leaders	12
dart	12
burden	12
avoid	12
heeded	12
horns	12
wheat	12
ceasing	12
sturdy	12
disgrace	12
advise	12
mule	12
yards	12
rob	12
groaned	12
sang	12
wheel	12
feel	12
swords	12
completed	12
rebuke	12
level	12
crests	12
gatehouse	12
chance	12
catch	12
nymph	12
euryalus	12
heaped	12
pisander	12
beg	12
asteropaeus	12
star	12
excel	12
hides	12
heat	12
dog	12
tearing	12
rivers	12
wailing	12
hence	12
following	12
returning	12
drank	12
dolon	12
bastard	12
helenus	12
polybus	12
battalions	12
scaean	12
divine	12
woke	11
quarrelling	11
challenge	11
studded	11
sending	11
hitting	11
secret	11
stationed	11
omens	11
prey	11
drop	11
nearly	11
mell	11
burnt	11
elis	11
pell	11
talents	11
build	11
sacrificed	11
lofty	11
loaded	11
respected	11
safety	11
prisoner	11
fragrant	11
backwards	11
opposite	11
attacked	11
grieved	11
houses	11
phyleus	11
foul	11
green	11
torn	11
piteously	11
mare	11
sister	11
thracians	11
treating	11
dress	11
signs	11
applause	11
ours	11
snatched	11
chamber	11
elsewhere	11
hellespont	11
cutting	11
henceforth	11
fastened	11
dragged	11
nodded	11
tables	11
worth	11
taste	11
oaths	11
instantly	11
mightiest	11
multitude	11
thighs	11
onwards	11
yesterday	11
plainly	11
herald	11
seer	11
olympian	11
bands	11
urging	11
agreed	11
aetolians	11
substance	11
figure	11
lamentation	11
acamas	11
thrasymedes	11
hitherto	11
oeneus	11
workmanship	11
boy	11
thankful	11
vineyard	11
angered	11
afar	11
eumelus	11
pure	11
play	11
enjoy	11
troubles	11
wants	11
laughing	11
touched	11
besides	11
enemies	11
fig	11
poised	11
staid	11
sank	11
wedded	11
offspring	11
rugs	11
unseemly	11
garden	11
eetion	11
yonder	11
lame	11
tomb	11
wand	11
summer	11
planted	11
blew	11
inlaid	11
bethought	11
grass	11
inward	11
touch	11
satisfaction	11
protected	11
lamenting	11
forehead	11
gift	11
wit	11
row	11
lotus	11
hot	11
blind	11
hearing	11
infinite	11
limb	11
bowed	11
matters	11
egypt	11
amphinomus	11
encircling	11
splendid	11
started	11
marked	11
charged	11
tin	10
otherwise	10
misfortunes	10
antiphus	10
honey	10
moan	10
nipple	10
vouchsafes	10
willing	10
runs	10
lycian	10
counsellor	10
icarius	10
according	10
months	10
sits	10
portion	10
hearth	10
ewes	10
serve	10
flow	10
throng	10
hospitably	10
sacrifices	10
fruit	10
instructions	10
flat	10
fancy	10
donned	10
retreat	10
raw	10
ranged	10
couple	10
talthybius	10
layers	10
tongues	10
art	10
creatures	10
sirens	10
hellas	10
counsellors	10
honourable	10
wrist	10
homeward	10
directly	10
neighbour	10
knowledge	10
clasped	10
falls	10
hateful	10
rescue	10
wool	10
soil	10
laodamas	10
blue	10
assented	10
divide	10
longing	10
rent	10
tlepolemus	10
terror	10
befallen	10
blaze	10
handle	10
roar	10
slaughter	10
meaning	10
fearful	10
rugged	10
bier	10
victims	10
sands	10
rear	10
seals	10
fairest	10
aeolus	10
begotten	10
rejoiced	10
advice	10
beating	10
note	10
mourning	10
whoever	10
hippolochus	10
sand	10
inspired	10
bidden	10
plant	10
pursue	10
fortune	10
change	10
passing	10
footstool	10
brains	10
bank	10
grove	10
youngest	10
breathed	10
east	10
upright	10
maidens	10
dancing	10
ashes	10
brawny	10
forces	10
pandarus	10
effect	10
sparta	10
delighted	10
pine	10
holds	10
wandering	10
deck	10
buried	10
wheels	10
liking	10
gore	10
assembled	10
played	10
voices	10
playing	10
wake	10
thundering	10
stout	10
agelaus	10
ocean	10
upwards	10
roots	10
bottom	10
hurrying	10
ambrosial	10
sigh	10
rolling	10
firmament	10
venture	10
hovered	9
showing	9
stock	9
cicons	9
earnest	9
phemius	9
scar	9
spreading	9
plunged	9
heretofore	9
mound	9
hawsers	9
rough	9
pitied	9
victorious	9
nectar	9
springing	9
wondrous	9
lair	9
delivered	9
grace	9
dazed	9
sisters	9
especially	9
quantity	9
henceforward	9
quarters	9
closely	9
memory	9
foam	9
staying	9
haired	9
telling	9
falcon	9
scheming	9
meantime	9
aldermen	9
hardest	9
shut	9
blast	9
fathers	9
yellow	9
receive	9
cost	9
kinsmen	9
iphitus	9
scared	9
sternly	9
reigned	9
gleamed	9
eyed	9
guided	9
smooth	9
striking	9
travelled	9
ruled	9
hurl	9
ivory	9
flower	9
tops	9
uprose	9
dreams	9
laughter	9
boon	9
axe	9
manage	9
forty	9
proper	9
lust	9
lots	9
bay	9
stag	9
season	9
everlasting	9
powerful	9
accomplished	9
angrily	9
peak	9
hill	9
behalf	9
rejoice	9
roasted	9
lately	9
pour	9
extreme	9
protection	9
punish	9
fountained	9
temples	9
fields	9
muses	9
wallet	9
coast	9
fulfilled	9
footed	9
sincerity	9
heartily	9
peneleos	9
counselled	9
javelin	9
least	9
bright	9
pressing	9
quietly	9
strife	9
meges	9
hemmed	9
stakes	9
bulls	9
sacred	9
tells	9
befall	9
wherein	9
pole	9
clothed	9
ball	9
depths	9
grows	9
fault	9
grapes	9
sick	9
ceased	9
gateway	9
ordered	9
sterns	9
runner	9
eleven	9
twisted	9
urn	9
abide	9
native	9
range	9
entrails	9
doorway	9
evening	9
pylians	9
larger	9
reaches	9
bows	9
insult	9
enter	9
taller	9
farm	9
raising	9
throne	9
avoided	9
troubled	9
squires	9
eight	9
nostrils	9
kindly	9
euphorbus	9
crossed	9
ashen	9
trembled	9
fawn	9
comfortable	9
plan	9
drag	9
actor	9
messengers	9
heap	9
vast	9
badly	9
rocky	9
bit	9
winter	9
attacking	9
sorrowing	8
scales	8
fare	8
caused	8
mouths	8
exceedingly	8
dishonour	8
watching	8
crashing	8
plumes	8
gets	8
facing	8
excelled	8
torches	8
thrace	8
thousand	8
senses	8
precious	8
fenced	8
reign	8
dashed	8
suppers	8
arming	8
hurry	8
turmoil	8
glared	8
beam	8
sallied	8
milked	8
settled	8
fairly	8
future	8
risen	8
adrestus	8
liver	8
weak	8
endurance	8
hurricane	8
path	8
quiet	8
proceed	8
reared	8
routed	8
laying	8
consult	8
homestead	8
pedasus	8
monstrous	8
brandishing	8
basket	8
nights	8
agony	8
boars	8
melanippus	8
lightly	8
provide	8
kills	8
heal	8
lower	8
hecuba	8
strung	8
load	8
cowardly	8
din	8
complain	8
month	8
imperishable	8
brow	8
covenants	8
beds	8
skilful	8
menestheus	8
passion	8
carries	8
empty	8
herb	8
issue	8
intent	8
army	8
brooding	8
bless	8
possible	8
fetched	8
breathing	8
elders	8
chromius	8
aid	8
claim	8
match	8
disguised	8
perfectly	8
beasts	8
darling	8
bloody	8
wings	8
minos	8
piraeus	8
fellows	8
add	8
woollen	8
herbs	8
grim	8
flaming	8
hang	8
admired	8
flayed	8
courtyard	8
sounding	8
firewood	8
royal	8
gasping	8
meadows	8
enamoured	8
possessions	8
doings	8
headland	8
sport	8
countless	8
whereby	8
andromache	8
cauldrons	8
boreas	8
protesilaus	8
mix	8
losing	8
needs	8
difficulty	8
goods	8
fighters	8
tripods	8
ambuscade	8
suppliants	8
pick	8
silly	8
entertained	8
handled	8
fish	8
meadow	8
dug	8
disaster	8
boot	8
deucalion	8
chains	8
managed	8
begins	8
hated	8
music	8
fleece	8
eldest	8
suit	8
overtake	8
sort	8
hanging	8
late	8
conversation	8
pouring	8
begun	8
stalwart	8
notice	8
sailing	8
approved	8
manes	8
sadly	8
beard	8
lain	8
token	8
camped	8
clutched	8
whirlwind	8
listened	8
accord	7
gathering	7
generally	7
murder	7
leathern	7
sorts	7
root	7
whither	7
calchas	7
wits	7
thousands	7
magnificent	7
handmaids	7
fewer	7
beats	7
steal	7
mecisteus	7
fondly	7
swallow	7
seventh	7
ancle	7
hunger	7
locks	7
ilus	7
ewer	7
deer	7
everybody	7
boiling	7
talons	7
swam	7
surrounded	7
wielding	7
sinews	7
swim	7
roast	7
shrill	7
snowy	7
jars	7
task	7
tros	7
stirred	7
thundered	7
elbow	7
stick	7
deliver	7
godlike	7
wonder	7
polyphemus	7
hippothous	7
scowled	7
loving	7
parted	7
heaviness	7
sacking	7
simois	7
dues	7
sally	7
roared	7
amphimachus	7
wickedness	7
cook	7
glittering	7
pavement	7
doubted	7
blasts	7
succeed	7
foolish	7
exactly	7
happiness	7
rejoicing	7
kindle	7
shooting	7
pirithous	7
sell	7
thracian	7
quivering	7
erewhile	7
metal	7
baskets	7
capaneus	7
alpheus	7
direction	7
colour	7
openly	7
anew	7
usual	7
thongs	7
charybdis	7
ended	7
graces	7
swept	7
orderly	7
largest	7
bargain	7
horn	7
valued	7
trusty	7
heights	7
fleetest	7
dew	7
fifth	7
noman	7
plough	7
pulled	7
shaft	7
ambush	7
rushing	7
boeotians	7
hyrtacus	7
search	7
awarded	7
harder	7
landed	7
aiming	7
taught	7
antiphates	7
erebus	7
saving	7
eupeithes	7
perhaps	7
tomorrow	7
surpass	7
heel	7
sensible	7
flashed	7
knee	7
sudden	7
parts	7
parnassus	7
clytius	7
kids	7
worsted	7
abroad	7
decreed	7
tasted	7
sufficiently	7
cowards	7
serpent	7
fashion	7
ash	7
hatched	7
unweariable	7
wasted	7
silent	7
measure	7
big	7
portions	7
pillar	7
heifers	7
bitterness	7
anoint	7
lesbos	7
prosper	7
start	7
prince	7
screaming	7
handsome	7
possessed	7
chryses	7
garment	7
passage	7
shrink	7
begged	7
phaeacian	7
phorcys	7
staunch	7
undone	7
drives	7
infant	7
polypoetes	7
terribly	7
reaching	7
hail	7
building	7
peg	7
although	7
somewhere	7
worst	7
epeus	7
wield	7
haven	7
reasonably	7
granted	7
pall	7
fearing	7
eddying	7
geese	7
homes	7
portent	7
recognised	7
rowing	7
strap	7
idle	7
showered	7
flood	7
pig	7
astonished	7
compare	7
provisions	7
pretty	7
plotting	7
thinks	7
deceive	7
dived	7
aesculapius	7
violence	7
exhort	7
entertain	7
thanks	7
remains	7
ashore	7
fights	7
embraces	7
humour	7
lays	7
dreadful	7
fated	7
ringing	7
kindled	7
savour	7
breaks	7
finish	7
peers	7
eurytus	7
orion	7
beast	7
amiss	7
renown	7
brunt	7
snake	7
plate	7
attended	7
decide	7
insulted	6
swoops	6
roaring	6
destroyed	6
sold	6
beggars	6
thoon	6
mess	6
oxhide	6
tribes	6
stripping	6
suddenly	6
ordering	6
begat	6
fold	6
nursed	6
cooked	6
lean	6
provoke	6
feats	6
semblance	6
boasting	6
autumn	6
chasing	6
fires	6
cephallenians	6
stress	6
swerved	6
jagged	6
veiled	6
fallow	6
esquire	6
caressed	6
railing	6
unmindful	6
checked	6
lustily	6
hours	6
possibly	6
remiss	6
flashing	6
thickest	6
smell	6
shaggy	6
tended	6
amends	6
pergamus	6
stars	6
cyprus	6
axle	6
thicket	6
starred	6
corslet	6
helm	6
aged	6
hewn	6
styx	6
crouching	6
wondering	6
dishonoured	6
scabbard	6
sufficient	6
undaunted	6
respectable	6
vow	6
desperately	6
smaller	6
alcimedon	6
bloom	6
athens	6
knowing	6
pack	6
flowers	6
